source_row_id,address_id,customer_id,address_type,address_line,city,province,region,is_primary,updated_at
SRC-A-0001,A0001,C0001,home,Avenida Sintetica 1,Ciudad Norte 1,Provincia Norte 1,Norte,true,2026-01-02T00:00:00Z
SRC-A-0002,A0002,C0002,billing,Avenida Sintetica 2,Ciudad Norte 2,Provincia Norte 2,Norte,true,2026-01-02T00:00:00Z
SRC-A-0003,A0003,C0003,work,Avenida Sintetica 3,Ciudad Norte 3,Provincia Norte 3,Norte,true,2026-01-02T00:00:00Z
SRC-A-0004,A0004,C0004,home,Avenida Sintetica 4,Ciudad Centro 1,Provincia Centro 1,Centro,true,2026-01-02T00:00:00Z
SRC-A-0005,A0005,C0005,billing,Avenida Sintetica 5,Ciudad Centro 2,Provincia Centro 2,Centro,true,2026-01-02T00:00:00Z
SRC-A-0006,A0006,C0006,work,Avenida Sintetica 6,Ciudad Centro 3,Provincia Centro 3,Centro,true,2026-01-02T00:00:00Z
SRC-A-0007,A0007,C0007,home,Avenida Sintetica 7,Ciudad Sur 1,Provincia Sur 1,Sur,true,2026-01-02T00:00:00Z
SRC-A-0008,A0008,C0008,billing,Avenida Sintetica 8,Ciudad Sur 2,Provincia Sur 2,Sur,true,2026-01-02T00:00:00Z
SRC-A-0009,A0009,C0009,work,Avenida Sintetica 9,Ciudad Sur 3,Provincia Sur 3,Sur,true,2026-01-02T00:00:00Z
SRC-A-0010,A0010,C0010,home,Avenida Sintetica 10,Ciudad Costa 1,Provincia Costa 1,Costa,true,2026-01-02T00:00:00Z
SRC-A-0011,A0011,C0011,billing,Avenida Sintetica 11,Ciudad Costa 2,Provincia Costa 2,Costa,true,2026-01-02T00:00:00Z
SRC-A-0012,A0012,C0012,work,Avenida Sintetica 12,Ciudad Costa 3,Provincia Costa 3,Costa,true,2026-01-02T00:00:00Z
SRC-A-0013,A0013,C0013,home,Avenida Sintetica 13,Ciudad Norte 1,Provincia Norte 1,Norte,true,2026-01-02T00:00:00Z
SRC-A-0014,A0014,C0014,billing,Avenida Sintetica 14,Ciudad Norte 2,Provincia Norte 2,Norte,true,2026-01-02T00:00:00Z
SRC-A-0015,A0015,C0015,work,Avenida Sintetica 15,Ciudad Norte 3,Provincia Norte 3,Norte,true,2026-01-02T00:00:00Z
SRC-A-0016,A0016,C0016,home,Avenida Sintetica 16,Ciudad Centro 1,Provincia Centro 1,Centro,true,2026-01-02T00:00:00Z
SRC-A-0017,A0017,C0017,billing,Avenida Sintetica 17,Ciudad Centro 2,Provincia Centro 2,Centro,true,2026-01-02T00:00:00Z
SRC-A-0018,A0018,C0018,work,Avenida Sintetica 18,Ciudad Centro 3,Provincia Centro 3,Centro,true,2026-01-02T00:00:00Z
SRC-A-0019,A0019,C0019,home,Avenida Sintetica 19,Ciudad Sur 1,Provincia Sur 1,Sur,true,2026-01-02T00:00:00Z
SRC-A-0020,A0020,C0020,billing,Avenida Sintetica 20,Ciudad Sur 2,Provincia Sur 2,Sur,true,2026-01-02T00:00:00Z
SRC-A-0021,A0021,C0021,work,Avenida Sintetica 21,Ciudad Sur 3,Provincia Sur 3,Sur,true,2026-01-02T00:00:00Z
SRC-A-0022,A0022,C0022,home,Avenida Sintetica 22,Ciudad Costa 1,Provincia Costa 1,Costa,true,2026-01-02T00:00:00Z
SRC-A-0023,A0023,C0023,billing,Avenida Sintetica 23,Ciudad Costa 2,Provincia Costa 2,Costa,true,2026-01-02T00:00:00Z
SRC-A-0024,A0024,C0024,work,Avenida Sintetica 24,Ciudad Costa 3,Provincia Costa 3,Costa,true,2026-01-02T00:00:00Z
SRC-A-0025,A0025,C0025,home,Avenida Sintetica 25,Ciudad Norte 1,Provincia Norte 1,Norte,true,2026-01-02T00:00:00Z
SRC-A-0026,A0026,C0026,billing,Avenida Sintetica 26,Ciudad Norte 2,Provincia Norte 2,Norte,true,2026-01-02T00:00:00Z
SRC-A-0027,A0027,C0027,work,Avenida Sintetica 27,Ciudad Norte 3,Provincia Norte 3,Norte,true,2026-01-02T00:00:00Z
SRC-A-0028,A0028,C0028,home,Avenida Sintetica 28,Ciudad Centro 1,Provincia Centro 1,Centro,true,2026-01-02T00:00:00Z
SRC-A-0029,A0029,C0029,billing,Avenida Sintetica 29,Ciudad Centro 2,Provincia Centro 2,Centro,true,2026-01-02T00:00:00Z
SRC-A-0030,A0030,C0030,work,Avenida Sintetica 30,Ciudad Centro 3,Provincia Centro 3,Centro,true,2026-01-02T00:00:00Z
