source_row_id,customer_id,first_name,last_name,document_number,segment,status,updated_at
SRC-C-0001,C0001,Ana,Alba,10000001,consumer,active,2026-01-01T00:00:00Z
SRC-C-0002,C0002,Bruno,Bello,10000002,family,active,2026-01-01T00:00:00Z
SRC-C-0003,C0003,Carla,Cruz,10000003,business,active,2026-01-01T00:00:00Z
SRC-C-0004,C0004,Diego,Duarte,10000004,consumer,active,2026-01-01T00:00:00Z
SRC-C-0005,C0005,Elena,Estevez,10000005,family,active,2026-01-01T00:00:00Z
SRC-C-0006,C0006,Fabian,Flores,10000006,business,active,2026-01-01T00:00:00Z
SRC-C-0007,C0007,Gloria,Guerrero,10000007,consumer,active,2026-01-01T00:00:00Z
SRC-C-0008,C0008,Hugo,Herrera,10000008,family,active,2026-01-01T00:00:00Z
SRC-C-0009,C0009,Ana,Alba,10000009,business,active,2026-01-01T00:00:00Z
SRC-C-0010,C0010,Bruno,Bello,10000010,consumer,active,2026-01-01T00:00:00Z
SRC-C-0011,C0011,Carla,Cruz,10000011,family,active,2026-01-01T00:00:00Z
SRC-C-0012,C0012,Diego,Duarte,10000012,business,active,2026-01-01T00:00:00Z
SRC-C-0013,C0013,Elena,Estevez,10000013,consumer,active,2026-01-01T00:00:00Z
SRC-C-0014,C0014,Fabian,Flores,10000014,family,active,2026-01-01T00:00:00Z
SRC-C-0015,C0015,Gloria,Guerrero,10000015,business,active,2026-01-01T00:00:00Z
SRC-C-0016,C0016,Hugo,Herrera,10000016,consumer,active,2026-01-01T00:00:00Z
SRC-C-0017,C0017,Ana,Alba,10000017,family,active,2026-01-01T00:00:00Z
SRC-C-0018,C0018,Bruno,Bello,10000018,business,active,2026-01-01T00:00:00Z
SRC-C-0019,C0019,Carla,Cruz,10000019,consumer,active,2026-01-01T00:00:00Z
SRC-C-0020,C0020,Diego,Duarte,10000020,family,active,2026-01-01T00:00:00Z
SRC-C-0021,C0021,Elena,Estevez,10000021,business,active,2026-01-01T00:00:00Z
SRC-C-0022,C0022,Fabian,Flores,10000022,consumer,active,2026-01-01T00:00:00Z
SRC-C-0023,C0023,Gloria,Guerrero,10000023,family,active,2026-01-01T00:00:00Z
SRC-C-0024,C0024,Hugo,Herrera,10000024,business,active,2026-01-01T00:00:00Z
SRC-C-0025,C0025,Ana,Alba,10000025,consumer,active,2026-01-01T00:00:00Z
SRC-C-0026,C0026,Bruno,Bello,10000026,family,active,2026-01-01T00:00:00Z
SRC-C-0027,C0027,Carla,Cruz,10000027,business,active,2026-01-01T00:00:00Z
SRC-C-0028,C0028,Diego,Duarte,10000028,consumer,active,2026-01-01T00:00:00Z
SRC-C-0029,C0029,Elena,Estevez,10000029,family,active,2026-01-01T00:00:00Z
SRC-C-0030,C0030,Fabian,Flores,10000030,business,active,2026-01-01T00:00:00Z
SRC-C-0031,C0031,Gloria,Guerrero,10000031,consumer,active,2026-01-01T00:00:00Z
SRC-C-0032,C0032,Hugo,Herrera,10000032,family,active,2026-01-01T00:00:00Z
SRC-C-0033,C0033,Ana,Alba,10000033,business,active,2026-01-01T00:00:00Z
SRC-C-0034,C0034,Bruno,Bello,10000034,consumer,active,2026-01-01T00:00:00Z
SRC-C-0035,C0035,Carla,Cruz,10000035,family,active,2026-01-01T00:00:00Z
SRC-C-0036,C0036,Diego,Duarte,10000036,business,active,2026-01-01T00:00:00Z
SRC-C-0037,C0037,Elena,Estevez,10000037,consumer,active,2026-01-01T00:00:00Z
SRC-C-0038,C0038,Fabian,Flores,10000038,family,active,2026-01-01T00:00:00Z
SRC-C-0039,C0039,Gloria,Guerrero,10000039,business,active,2026-01-01T00:00:00Z
SRC-C-0040,C0040,Hugo,Herrera,10000040,consumer,active,2026-01-01T00:00:00Z
SRC-C-0041,C0041,Ana,Alba,10000041,family,active,2026-01-01T00:00:00Z
SRC-C-0042,C0042,Bruno,Bello,10000042,business,active,2026-01-01T00:00:00Z
SRC-C-0043,C0043,Carla,Cruz,10000043,consumer,active,2026-01-01T00:00:00Z
SRC-C-0044,C0044,Diego,Duarte,10000044,family,active,2026-01-01T00:00:00Z
SRC-C-0045,C0045,Elena,Estevez,10000045,business,active,2026-01-01T00:00:00Z
SRC-C-0046,C0046,Fabian,Flores,10000046,consumer,active,2026-01-01T00:00:00Z
SRC-C-0047,C0047,Gloria,Guerrero,10000047,family,active,2026-01-01T00:00:00Z
SRC-C-0048,C0048,Hugo,Herrera,10000048,business,active,2026-01-01T00:00:00Z
SRC-C-0049,C0049,Ana,Alba,10000049,consumer,active,2026-01-01T00:00:00Z
SRC-C-0050,C0050,Bruno,Bello,10000050,family,active,2026-01-01T00:00:00Z
SRC-C-0051,C0051,Carla,Cruz,10000051,business,active,2026-01-01T00:00:00Z
SRC-C-0052,C0052,Diego,Duarte,10000052,consumer,active,2026-01-01T00:00:00Z
SRC-C-0053,C0053,Elena,Estevez,10000053,family,active,2026-01-01T00:00:00Z
SRC-C-0054,C0054,Fabian,Flores,10000054,business,active,2026-01-01T00:00:00Z
SRC-C-0055,C0055,Gloria,Guerrero,10000055,consumer,active,2026-01-01T00:00:00Z
SRC-C-0056,C0056,Hugo,Herrera,10000056,family,active,2026-01-01T00:00:00Z
SRC-C-0057,C0057,Ana,Alba,10000057,business,active,2026-01-01T00:00:00Z
SRC-C-0058,C0058,Bruno,Bello,10000058,consumer,active,2026-01-01T00:00:00Z
SRC-C-0059,C0059,Carla,Cruz,10000059,family,active,2026-01-01T00:00:00Z
SRC-C-0060,C0060,Diego,Duarte,10000060,business,active,2026-01-01T00:00:00Z
SRC-C-0061,C0061,Elena,Estevez,10000061,consumer,active,2026-01-01T00:00:00Z
SRC-C-0062,C0062,Fabian,Flores,10000062,family,active,2026-01-01T00:00:00Z
SRC-C-0063,C0063,Gloria,Guerrero,10000063,business,active,2026-01-01T00:00:00Z
SRC-C-0064,C0064,Hugo,Herrera,10000064,consumer,active,2026-01-01T00:00:00Z
SRC-C-0065,C0065,Ana,Alba,10000065,family,active,2026-01-01T00:00:00Z
SRC-C-0066,C0066,Bruno,Bello,10000066,business,active,2026-01-01T00:00:00Z
SRC-C-0067,C0067,Carla,Cruz,10000067,consumer,active,2026-01-01T00:00:00Z
SRC-C-0068,C0068,Diego,Duarte,10000068,family,active,2026-01-01T00:00:00Z
SRC-C-0069,C0069,Elena,Estevez,10000069,business,active,2026-01-01T00:00:00Z
SRC-C-0070,C0070,Fabian,Flores,10000070,consumer,active,2026-01-01T00:00:00Z
SRC-C-0071,C0071,Gloria,Guerrero,10000071,family,active,2026-01-01T00:00:00Z
SRC-C-0072,C0072,Hugo,Herrera,10000072,business,active,2026-01-01T00:00:00Z
SRC-C-0073,C0073,Ana,Alba,10000073,consumer,active,2026-01-01T00:00:00Z
SRC-C-0074,C0074,Bruno,Bello,10000074,family,active,2026-01-01T00:00:00Z
SRC-C-0075,C0075,Carla,Cruz,10000075,business,active,2026-01-01T00:00:00Z
SRC-C-0076,C0076,Diego,Duarte,10000076,consumer,active,2026-01-01T00:00:00Z
SRC-C-0077,C0077,Elena,Estevez,10000077,family,active,2026-01-01T00:00:00Z
SRC-C-0078,C0078,Fabian,Flores,10000078,business,active,2026-01-01T00:00:00Z
SRC-C-0079,C0079,Gloria,Guerrero,10000079,consumer,active,2026-01-01T00:00:00Z
SRC-C-0080,C0080,Hugo,Herrera,10000080,family,active,2026-01-01T00:00:00Z
SRC-C-0081,C0081,Ana,Alba,10000081,business,active,2026-01-01T00:00:00Z
SRC-C-0082,C0082,Bruno,Bello,10000082,consumer,active,2026-01-01T00:00:00Z
SRC-C-0083,C0083,Carla,Cruz,10000083,family,active,2026-01-01T00:00:00Z
SRC-C-0084,C0084,Diego,Duarte,10000084,business,active,2026-01-01T00:00:00Z
SRC-C-0085,C0085,Elena,Estevez,10000085,consumer,active,2026-01-01T00:00:00Z
SRC-C-0086,C0086,Fabian,Flores,10000086,family,active,2026-01-01T00:00:00Z
SRC-C-0087,C0087,Gloria,Guerrero,10000087,business,active,2026-01-01T00:00:00Z
SRC-C-0088,C0088,Hugo,Herrera,10000088,consumer,active,2026-01-01T00:00:00Z
SRC-C-0089,C0089,Ana,Alba,10000089,family,active,2026-01-01T00:00:00Z
SRC-C-0090,C0090,Bruno,Bello,10000090,business,active,2026-01-01T00:00:00Z
SRC-C-0091,C0091,Carla,Cruz,10000091,consumer,active,2026-01-01T00:00:00Z
SRC-C-0092,C0092,Diego,Duarte,10000092,family,active,2026-01-01T00:00:00Z
SRC-C-0093,C0093,Elena,Estevez,10000093,business,active,2026-01-01T00:00:00Z
SRC-C-0094,C0094,Fabian,Flores,10000094,consumer,active,2026-01-01T00:00:00Z
SRC-C-0095,C0095,Gloria,Guerrero,10000095,family,active,2026-01-01T00:00:00Z
SRC-C-0096,C0096,Hugo,Herrera,10000096,business,active,2026-01-01T00:00:00Z
SRC-C-0097,C0097,Ana,Alba,10000097,consumer,active,2026-01-01T00:00:00Z
SRC-C-0098,C0098,Bruno,Bello,10000098,family,active,2026-01-01T00:00:00Z
SRC-C-0099,C0099,Carla,Cruz,10000099,business,active,2026-01-01T00:00:00Z
SRC-C-0100,C0100,Diego,Duarte,10000100,consumer,active,2026-01-01T00:00:00Z
SRC-C-0101,C0101,Elena,Estevez,10000101,family,active,2026-01-01T00:00:00Z
SRC-C-0102,C0102,Fabian,Flores,10000102,business,active,2026-01-01T00:00:00Z
SRC-C-0103,C0103,Gloria,Guerrero,10000103,consumer,active,2026-01-01T00:00:00Z
SRC-C-0104,C0104,Hugo,Herrera,10000104,family,active,2026-01-01T00:00:00Z
SRC-C-0105,C0105,Ana,Alba,10000105,business,active,2026-01-01T00:00:00Z
SRC-C-0106,C0106,Bruno,Bello,10000106,consumer,active,2026-01-01T00:00:00Z
SRC-C-0107,C0107,Carla,Cruz,10000107,family,active,2026-01-01T00:00:00Z
SRC-C-0108,C0108,Diego,Duarte,10000108,business,active,2026-01-01T00:00:00Z
SRC-C-0109,C0109,Elena,Estevez,10000109,consumer,active,2026-01-01T00:00:00Z
SRC-C-0110,C0110,Fabian,Flores,10000110,family,active,2026-01-01T00:00:00Z
SRC-C-0111,C0111,Gloria,Guerrero,10000111,business,active,2026-01-01T00:00:00Z
SRC-C-0112,C0112,Hugo,Herrera,10000112,consumer,active,2026-01-01T00:00:00Z
SRC-C-0113,C0113,Ana,Alba,10000113,family,active,2026-01-01T00:00:00Z
SRC-C-0114,C0114,Bruno,Bello,10000114,business,active,2026-01-01T00:00:00Z
SRC-C-0115,C0115,Carla,Cruz,10000115,consumer,active,2026-01-01T00:00:00Z
SRC-C-0116,C0116,Diego,Duarte,10000116,family,active,2026-01-01T00:00:00Z
SRC-C-0117,C0117,Elena,Estevez,10000117,business,active,2026-01-01T00:00:00Z
SRC-C-0118,C0118,Fabian,Flores,10000118,consumer,active,2026-01-01T00:00:00Z
SRC-C-0119,C0119,Gloria,Guerrero,10000119,family,active,2026-01-01T00:00:00Z
SRC-C-0120,C0120,Hugo,Herrera,10000120,business,active,2026-01-01T00:00:00Z
SRC-C-0121,C0121,Ana,Alba,10000121,consumer,active,2026-01-01T00:00:00Z
SRC-C-0122,C0122,Bruno,Bello,10000122,family,active,2026-01-01T00:00:00Z
SRC-C-0123,C0123,Carla,Cruz,10000123,business,active,2026-01-01T00:00:00Z
SRC-C-0124,C0124,Diego,Duarte,10000124,consumer,active,2026-01-01T00:00:00Z
SRC-C-0125,C0125,Elena,Estevez,10000125,family,active,2026-01-01T00:00:00Z
SRC-C-0126,C0126,Fabian,Flores,10000126,business,active,2026-01-01T00:00:00Z
SRC-C-0127,C0127,Gloria,Guerrero,10000127,consumer,active,2026-01-01T00:00:00Z
SRC-C-0128,C0128,Hugo,Herrera,10000128,family,active,2026-01-01T00:00:00Z
SRC-C-0129,C0129,Ana,Alba,10000129,business,active,2026-01-01T00:00:00Z
SRC-C-0130,C0130,Bruno,Bello,10000130,consumer,active,2026-01-01T00:00:00Z
SRC-C-0131,C0131,Carla,Cruz,10000131,family,active,2026-01-01T00:00:00Z
SRC-C-0132,C0132,Diego,Duarte,10000132,business,active,2026-01-01T00:00:00Z
SRC-C-0133,C0133,Elena,Estevez,10000133,consumer,active,2026-01-01T00:00:00Z
SRC-C-0134,C0134,Fabian,Flores,10000134,family,active,2026-01-01T00:00:00Z
SRC-C-0135,C0135,Gloria,Guerrero,10000135,business,active,2026-01-01T00:00:00Z
SRC-C-0136,C0136,Hugo,Herrera,10000136,consumer,active,2026-01-01T00:00:00Z
SRC-C-0137,C0137,Ana,Alba,10000137,family,active,2026-01-01T00:00:00Z
SRC-C-0138,C0138,Bruno,Bello,10000138,business,active,2026-01-01T00:00:00Z
SRC-C-0139,C0139,Carla,Cruz,10000139,consumer,active,2026-01-01T00:00:00Z
SRC-C-0140,C0140,Diego,Duarte,10000140,family,active,2026-01-01T00:00:00Z
SRC-C-0141,C0141,Elena,Estevez,10000141,business,active,2026-01-01T00:00:00Z
SRC-C-0142,C0142,Fabian,Flores,10000142,consumer,active,2026-01-01T00:00:00Z
SRC-C-0143,C0143,Gloria,Guerrero,10000143,family,active,2026-01-01T00:00:00Z
SRC-C-0144,C0144,Hugo,Herrera,10000144,business,active,2026-01-01T00:00:00Z
SRC-C-0145,C0145,Ana,Alba,10000145,consumer,active,2026-01-01T00:00:00Z
SRC-C-0146,C0146,Bruno,Bello,10000146,family,active,2026-01-01T00:00:00Z
SRC-C-0147,C0147,Carla,Cruz,10000147,business,active,2026-01-01T00:00:00Z
SRC-C-0148,C0148,Diego,Duarte,10000148,consumer,active,2026-01-01T00:00:00Z
SRC-C-0149,C0149,Elena,Estevez,10000149,family,active,2026-01-01T00:00:00Z
SRC-C-0150,C0150,Fabian,Flores,10000150,business,active,2026-01-01T00:00:00Z
SRC-C-0151,C0151,Gloria,Guerrero,10000151,consumer,active,2026-01-01T00:00:00Z
SRC-C-0152,C0152,Hugo,Herrera,10000152,family,active,2026-01-01T00:00:00Z
SRC-C-0153,C0153,Ana,Alba,10000153,business,active,2026-01-01T00:00:00Z
SRC-C-0154,C0154,Bruno,Bello,10000154,consumer,active,2026-01-01T00:00:00Z
SRC-C-0155,C0155,Carla,Cruz,10000155,family,active,2026-01-01T00:00:00Z
SRC-C-0156,C0156,Diego,Duarte,10000156,business,active,2026-01-01T00:00:00Z
SRC-C-0157,C0157,Elena,Estevez,10000157,consumer,active,2026-01-01T00:00:00Z
SRC-C-0158,C0158,Fabian,Flores,10000158,family,active,2026-01-01T00:00:00Z
SRC-C-0159,C0159,Gloria,Guerrero,10000159,business,active,2026-01-01T00:00:00Z
SRC-C-0160,C0160,Hugo,Herrera,10000160,consumer,active,2026-01-01T00:00:00Z
SRC-C-0161,C0161,Ana,Alba,10000161,family,active,2026-01-01T00:00:00Z
SRC-C-0162,C0162,Bruno,Bello,10000162,business,active,2026-01-01T00:00:00Z
SRC-C-0163,C0163,Carla,Cruz,10000163,consumer,active,2026-01-01T00:00:00Z
SRC-C-0164,C0164,Diego,Duarte,10000164,family,active,2026-01-01T00:00:00Z
SRC-C-0165,C0165,Elena,Estevez,10000165,business,active,2026-01-01T00:00:00Z
SRC-C-0166,C0166,Fabian,Flores,10000166,consumer,active,2026-01-01T00:00:00Z
SRC-C-0167,C0167,Gloria,Guerrero,10000167,family,active,2026-01-01T00:00:00Z
SRC-C-0168,C0168,Hugo,Herrera,10000168,business,active,2026-01-01T00:00:00Z
SRC-C-0169,C0169,Ana,Alba,10000169,consumer,active,2026-01-01T00:00:00Z
SRC-C-0170,C0170,Bruno,Bello,10000170,family,active,2026-01-01T00:00:00Z
SRC-C-0171,C0171,Carla,Cruz,10000171,business,active,2026-01-01T00:00:00Z
SRC-C-0172,C0172,Diego,Duarte,10000172,consumer,active,2026-01-01T00:00:00Z
SRC-C-0173,C0173,Elena,Estevez,10000173,family,active,2026-01-01T00:00:00Z
SRC-C-0174,C0174,Fabian,Flores,10000174,business,active,2026-01-01T00:00:00Z
SRC-C-0175,C0175,Gloria,Guerrero,10000175,consumer,active,2026-01-01T00:00:00Z
SRC-C-0176,C0176,Hugo,Herrera,10000176,family,active,2026-01-01T00:00:00Z
SRC-C-0177,C0177,Ana,Alba,10000177,business,active,2026-01-01T00:00:00Z
SRC-C-0178,C0178,Bruno,Bello,10000178,consumer,active,2026-01-01T00:00:00Z
SRC-C-0179,C0179,Carla,Cruz,10000179,family,active,2026-01-01T00:00:00Z
SRC-C-0180,C0180,Diego,Duarte,10000180,business,active,2026-01-01T00:00:00Z
SRC-C-0181,C0181,Elena,Estevez,10000181,consumer,active,2026-01-01T00:00:00Z
SRC-C-0182,C0182,Fabian,Flores,10000182,family,active,2026-01-01T00:00:00Z
SRC-C-0183,C0183,Gloria,Guerrero,10000183,business,active,2026-01-01T00:00:00Z
SRC-C-0184,C0184,Hugo,Herrera,10000184,consumer,active,2026-01-01T00:00:00Z
SRC-C-0185,C0185,Ana,Alba,10000185,family,active,2026-01-01T00:00:00Z
SRC-C-0186,C0186,Bruno,Bello,10000186,business,active,2026-01-01T00:00:00Z
