source_row_id,line_id,account_id,product_id,msisdn,activation_date,status,updated_at
SRC-POL-0001,POL0001,PA0001,POST01,800000001,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0002,POL0002,PA0002,POST02,800000002,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0003,POL0003,PA0003,POST03,800000003,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0004,POL0004,PA0004,POST04,800000004,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0005,POL0005,PA0005,POST05,800000005,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0006,POL0006,PA0006,POST01,800000006,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0007,POL0007,PA0007,POST02,800000007,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0008,POL0008,PA0008,POST03,800000008,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0009,POL0009,PA0009,POST04,800000009,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0010,POL0010,PA0010,POST05,800000010,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0011,POL0011,PA0011,POST01,800000011,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0012,POL0012,PA0012,POST02,800000012,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0013,POL0013,PA0013,POST03,800000013,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0014,POL0014,PA0014,POST04,800000014,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0015,POL0015,PA0015,POST05,800000015,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0016,POL0016,PA0016,POST01,800000016,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0017,POL0017,PA0017,POST02,800000017,2024-05-15,suspended,2026-01-06T00:00:00Z
SRC-POL-0018,POL0018,PA0018,POST03,800000018,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0019,POL0019,PA0019,POST04,800000019,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0020,POL0020,PA0020,POST05,800000020,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0021,POL0021,PA0021,POST01,800000021,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0022,POL0022,PA0022,POST02,800000022,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0023,POL0023,PA0023,POST03,800000023,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0024,POL0024,PA0024,POST04,800000024,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0025,POL0025,PA0025,POST05,800000025,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0026,POL0026,PA0026,POST01,800000026,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0027,POL0027,PA0027,POST02,800000027,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0028,POL0028,PA0028,POST03,800000028,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0029,POL0029,PA0029,POST04,800000029,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0030,POL0030,PA0030,POST05,800000030,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0031,POL0031,PA0031,POST01,800000031,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0032,POL0032,PA0032,POST02,800000032,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0033,POL0033,PA0033,POST03,800000033,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0034,POL0034,PA0034,POST04,800000034,2024-10-15,suspended,2026-01-06T00:00:00Z
SRC-POL-0035,POL0035,PA0035,POST05,800000035,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0036,POL0036,PA0036,POST01,800000036,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0037,POL0037,PA0037,POST02,800000037,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0038,POL0038,PA0038,POST03,800000038,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0039,POL0039,PA0039,POST04,800000039,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0040,POL0040,PA0040,POST05,800000040,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0041,POL0041,PA0041,POST01,800000041,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0042,POL0042,PA0042,POST02,800000042,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0043,POL0043,PA0043,POST03,800000043,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0044,POL0044,PA0044,POST04,800000044,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0045,POL0045,PA0045,POST05,800000045,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0046,POL0046,PA0046,POST01,800000046,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0047,POL0047,PA0047,POST02,800000047,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0048,POL0048,PA0048,POST03,800000048,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0049,POL0049,PA0049,POST04,800000049,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0050,POL0050,PA0050,POST05,800000050,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0051,POL0051,PA0051,POST01,800000051,2024-03-15,suspended,2026-01-06T00:00:00Z
SRC-POL-0052,POL0052,PA0052,POST02,800000052,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0053,POL0053,PA0053,POST03,800000053,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0054,POL0054,PA0054,POST04,800000054,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0055,POL0055,PA0055,POST05,800000055,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0056,POL0056,PA0056,POST01,800000056,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0057,POL0057,PA0057,POST02,800000057,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0058,POL0058,PA0058,POST03,800000058,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0059,POL0059,PA0059,POST04,800000059,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0060,POL0060,PA0060,POST05,800000060,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0061,POL0061,PA0061,POST01,800000061,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0062,POL0062,PA0062,POST02,800000062,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0063,POL0063,PA0063,POST03,800000063,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0064,POL0064,PA0064,POST04,800000064,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0065,POL0065,PA0065,POST05,800000065,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0066,POL0066,PA0066,POST01,800000066,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0067,POL0067,PA0067,POST02,800000067,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0068,POL0068,PA0068,POST03,800000068,2024-08-15,suspended,2026-01-06T00:00:00Z
SRC-POL-0069,POL0069,PA0069,POST04,800000069,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0070,POL0070,PA0070,POST05,800000070,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0071,POL0071,PA0071,POST01,800000071,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0072,POL0072,PA0072,POST02,800000072,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0073,POL0073,PA0073,POST03,800000073,2024-01-15,active,2026-01-06T00:00:00Z
SRC-POL-0074,POL0074,PA0074,POST04,800000074,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0075,POL0075,PA0075,POST05,800000075,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0076,POL0076,PA0076,POST01,800000076,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0077,POL0077,PA0077,POST02,800000077,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0078,POL0078,PA0078,POST03,800000078,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0079,POL0079,PA0079,POST04,800000079,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0080,POL0080,PA0080,POST05,800000080,2024-08-15,active,2026-01-06T00:00:00Z
SRC-POL-0081,POL0081,PA0081,POST01,800000081,2024-09-15,active,2026-01-06T00:00:00Z
SRC-POL-0082,POL0082,PA0082,POST02,800000082,2024-10-15,active,2026-01-06T00:00:00Z
SRC-POL-0083,POL0083,PA0083,POST03,800000083,2024-11-15,active,2026-01-06T00:00:00Z
SRC-POL-0084,POL0084,PA0084,POST04,800000084,2024-12-15,active,2026-01-06T00:00:00Z
SRC-POL-0085,POL0085,PA0085,POST05,800000085,2024-01-15,suspended,2026-01-06T00:00:00Z
SRC-POL-0086,POL0086,PA0086,POST01,800000086,2024-02-15,active,2026-01-06T00:00:00Z
SRC-POL-0087,POL0087,PA0087,POST02,800000087,2024-03-15,active,2026-01-06T00:00:00Z
SRC-POL-0088,POL0088,PA0088,POST03,800000088,2024-04-15,active,2026-01-06T00:00:00Z
SRC-POL-0089,POL0089,PA0089,POST04,800000089,2024-05-15,active,2026-01-06T00:00:00Z
SRC-POL-0090,POL0090,PA0090,POST05,800000090,2024-06-15,active,2026-01-06T00:00:00Z
SRC-POL-0091,POL0091,PA0091,POST01,800000091,2024-07-15,active,2026-01-06T00:00:00Z
SRC-POL-0092,POL0092,PA0092,POST02,800000092,2024-08-15,active,2026-01-06T00:00:00Z
