source_row_id,line_id,customer_id,product_id,msisdn,activation_date,status,updated_at
SRC-PL-0001,PL0001,C0001,PRE01,700000001,2025-01-01,active,2026-01-04T00:00:00Z
SRC-PL-0002,PL0002,C0002,PRE02,700000002,2025-02-01,active,2026-01-04T00:00:00Z
SRC-PL-0003,PL0003,C0003,PRE03,700000003,2025-03-01,active,2026-01-04T00:00:00Z
SRC-PL-0004,PL0004,C0004,PRE04,700000004,2025-04-01,active,2026-01-04T00:00:00Z
SRC-PL-0005,PL0005,C0005,PRE05,700000005,2025-05-01,active,2026-01-04T00:00:00Z
SRC-PL-0006,PL0006,C0006,PRE01,700000006,2025-06-01,active,2026-01-04T00:00:00Z
SRC-PL-0007,PL0007,C0007,PRE02,700000007,2025-07-01,active,2026-01-04T00:00:00Z
SRC-PL-0008,PL0008,C0008,PRE03,700000008,2025-08-01,active,2026-01-04T00:00:00Z
SRC-PL-0009,PL0009,C0009,PRE04,700000009,2025-09-01,active,2026-01-04T00:00:00Z
SRC-PL-0010,PL0010,C0010,PRE05,700000010,2025-10-01,active,2026-01-04T00:00:00Z
SRC-PL-0011,PL0011,C0011,PRE01,700000011,2025-11-01,suspended,2026-01-04T00:00:00Z
SRC-PL-0012,PL0012,C0012,PRE02,700000012,2025-12-01,active,2026-01-04T00:00:00Z
SRC-PL-0013,PL0013,C0013,PRE03,700000013,2025-01-01,active,2026-01-04T00:00:00Z
SRC-PL-0014,PL0014,C0014,PRE04,700000014,2025-02-01,active,2026-01-04T00:00:00Z
SRC-PL-0015,PL0015,C0015,PRE05,700000015,2025-03-01,active,2026-01-04T00:00:00Z
SRC-PL-0016,PL0016,C0016,PRE01,700000016,2025-04-01,active,2026-01-04T00:00:00Z
SRC-PL-0017,PL0017,C0017,PRE02,700000017,2025-05-01,active,2026-01-04T00:00:00Z
SRC-PL-0018,PL0018,C0018,PRE03,700000018,2025-06-01,active,2026-01-04T00:00:00Z
SRC-PL-0019,PL0019,C0019,PRE04,700000019,2025-07-01,active,2026-01-04T00:00:00Z
SRC-PL-0020,PL0020,C0020,PRE05,700000020,2025-08-01,active,2026-01-04T00:00:00Z
SRC-PL-0021,PL0021,C0021,PRE01,700000021,2025-09-01,active,2026-01-04T00:00:00Z
SRC-PL-0022,PL0022,C0022,PRE02,700000022,2025-10-01,suspended,2026-01-04T00:00:00Z
SRC-PL-0023,PL0023,C0023,PRE03,700000023,2025-11-01,active,2026-01-04T00:00:00Z
SRC-PL-0024,PL0024,C0024,PRE04,700000024,2025-12-01,active,2026-01-04T00:00:00Z
SRC-PL-0025,PL0025,C0025,PRE05,700000025,2025-01-01,active,2026-01-04T00:00:00Z
SRC-PL-0026,PL0026,C0026,PRE01,700000026,2025-02-01,active,2026-01-04T00:00:00Z
SRC-PL-0027,PL0027,C0027,PRE02,700000027,2025-03-01,active,2026-01-04T00:00:00Z
SRC-PL-0028,PL0028,C0028,PRE03,700000028,2025-04-01,active,2026-01-04T00:00:00Z
SRC-PL-0029,PL0029,C0029,PRE04,700000029,2025-05-01,active,2026-01-04T00:00:00Z
SRC-PL-0030,PL0030,C0030,PRE05,700000030,2025-06-01,active,2026-01-04T00:00:00Z
SRC-PL-0031,PL0031,C0031,PRE01,700000031,2025-07-01,active,2026-01-04T00:00:00Z
SRC-PL-0032,PL0032,C0032,PRE02,700000032,2025-08-01,active,2026-01-04T00:00:00Z
SRC-PL-0033,PL0033,C0033,PRE03,700000033,2025-09-01,suspended,2026-01-04T00:00:00Z
SRC-PL-0034,PL0034,C0034,PRE04,700000034,2025-10-01,active,2026-01-04T00:00:00Z
SRC-PL-0035,PL0035,C0035,PRE05,700000035,2025-11-01,active,2026-01-04T00:00:00Z
SRC-PL-0036,PL0036,C0036,PRE01,700000036,2025-12-01,active,2026-01-04T00:00:00Z
SRC-PL-0037,PL0037,C0037,PRE02,700000037,2025-01-01,active,2026-01-04T00:00:00Z
SRC-PL-0038,PL0038,C0038,PRE03,700000038,2025-02-01,active,2026-01-04T00:00:00Z
